#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
 2645.0| 0.048172| 0.000000| 0.048172| 0.000000| 0.000000| 0.000000
 2650.0| 0.046760| 0.000000| 0.046760| 0.000000| 0.000000| 0.000000
 2655.0| 0.047693| 0.000000| 0.047693| 0.000000| 0.000000| 0.000000
 2660.0| 0.048838| 0.000000| 0.048838| 0.000000| 0.000000| 0.000000
 2665.0| 0.047524| 0.000000| 0.047524| 0.000000| 0.000000| 0.000000
 2670.0| 0.047244| 0.000000| 0.047244| 0.000000| 0.000000| 0.000000
 2675.0| 0.046331| 0.000000| 0.046331| 0.000000| 0.000000| 0.000000
 2680.0| 0.045293| 0.000000| 0.045293| 0.000000| 0.000000| 0.000000
 2685.0| 0.046206| 0.000000| 0.046206| 0.000000| 0.000000| 0.000000
 2690.0| 0.046602| 0.000000| 0.046602| 0.000000| 0.000000| 0.000000
 2695.0| 0.045224| 0.000000| 0.045224| 0.000000| 0.000000| 0.000000
 2700.0| 0.045723| 0.000000| 0.045723| 0.000000| 0.000000| 0.000000
 2705.0| 0.046813| 0.000000| 0.046813| 0.000000| 0.000000| 0.000000
 2710.0| 0.046362| 0.000000| 0.046362| 0.000000| 0.000000| 0.000000
 2715.0| 0.045390| 0.000000| 0.045390| 0.000000| 0.000000| 0.000000
 2720.0| 0.040682| 0.000000| 0.040682| 0.000000| 0.000000| 0.000000
 2725.0| 0.038388| 0.000000| 0.038388| 0.000000| 0.000000| 0.000000
 2730.0| 0.042438| 0.000000| 0.042438| 0.000000| 0.000000| 0.000000
 2735.0| 0.043620| 0.000000| 0.043620| 0.000000| 0.000000| 0.000000
 2740.0| 0.040587| 0.000000| 0.040587| 0.000000| 0.000000| 0.000000
 2745.0| 0.040738| 0.000000| 0.040738| 0.000000| 0.000000| 0.000000
